TestName,Tool,Group,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
sanity,Yosys,,True,1,sanity,653,30,0.003361,0.00639,0.009751,14.809
event_control_edge,Yosys,,False,1,9.4.2,403,30,0.005239,0.005492,0.010731,14.902
always_comb,Yosys,,True,0,9.2.2.2,390,30,0.005823,0.008868,0.014691,21.098
event_nonblocking_assignment_delay,Yosys,,True,0,9.4.5,434,30,0.010239,0.005682,0.015921,21.328
event_conditional,Yosys,,False,1,9.4.2.3,442,30,0.004093,0.006179,0.010272,14.816
final,Yosys,,False,1,9.2.3,357,30,0.007524,0.002346,0.00987,15.129
always_latch_expr,Yosys,,True,0,9.2.2.3,417,30,0.009739,0.005535,0.015274,21.461
event_implicit,Yosys,,True,0,9.4.2.2,448,30,0.007655,0.006694,0.014349,21.543
always,Yosys,,True,0,9.4.1 9.2.2.1,371,30,0.010284,0.00413,0.014414,21.383
always_ff,Yosys,,True,0,9.2.2.4,410,30,0.009909,0.004884,0.014793,21.488
initial,Yosys,,True,0,9.2.1,363,30,0.009929,0.004476,0.014405,21.375
disable,Yosys,,False,1,9.6.2,416,30,0.005126,0.005014,0.01014,15.02
event_comma_op,Yosys,,True,0,9.4.2.1,458,30,0.006396,0.008213,0.014609,21.094
block_names_seq,Yosys,,True,0,9.3.4,455,30,0.008339,0.006287,0.014626,21.34
event_blocking_assignment_delay,Yosys,,True,0,9.4.5,426,30,0.008173,0.00584,0.014013,21.285
event_or_op,Yosys,,True,0,9.4.2.1,458,30,0.009642,0.005392,0.015034,21.602
statement_labels_seq,Yosys,,False,1,9.3.5,461,30,0.003621,0.00666,0.010281,14.969
event_control_posedge,Yosys,,True,0,9.4.2,409,30,0.007543,0.006731,0.014274,21.551
sequential_block,Yosys,,True,0,9.3.1,437,30,0.008416,0.005235,0.013651,21.277
event_control_negedge,Yosys,,True,0,9.4.2,409,30,0.008938,0.005576,0.014514,21.262
assert_test,Yosys,,True,0,uvm-req 16.2,367,30,0.006765,0.008011,0.014776,21.34
property_prec_test,Yosys,,False,1,uvm-req 16.12,429,30,0.003906,0.006097,0.010003,14.816
assert_final_test,Yosys,,False,1,16.4,377,30,0.005747,0.004151,0.009898,15.031
assume_property_test,Yosys,,False,1,16.14,412,30,0.005105,0.00529,0.010395,14.965
property_disable_iff_min_test,Yosys,,False,1,uvm-req 16.12,468,30,0.004882,0.004266,0.009148,15.059
assume0_test,Yosys,,False,1,16.4,365,30,0.003978,0.006266,0.010244,14.965
expect_test,Yosys,,False,1,uvm-req 16.17,415,30,0.005389,0.004904,0.010293,15.207
cover_final_test,Yosys,,False,1,16.4,374,30,0.007235,0.002952,0.010187,14.965
cover_test,Yosys,,True,0,uvm-req 16.2,364,30,0.009369,0.004659,0.014028,21.59
property_test,Yosys,,False,1,uvm-req 16.12,398,30,0.005417,0.005479,0.010896,14.965
assume_test,Yosys,,True,0,uvm-req 16.2,366,30,0.009383,0.004995,0.014378,21.562
assert0_test,Yosys,,False,1,16.4,366,30,0.006444,0.004421,0.010865,14.918
assume_final_test,Yosys,,False,1,16.4,376,30,0.006255,0.004461,0.010716,14.961
cover0_test,Yosys,,False,1,16.4,363,30,0.005601,0.004808,0.010409,15.168
property_disj_test,Yosys,,False,1,uvm-req 16.12,414,30,0.007001,0.003245,0.010246,15.07
property_iff_test,Yosys,,False,1,uvm-req 16.12,415,30,0.004323,0.006046,0.010369,14.934
operations-on-packed-arrays-equality,Yosys,,True,0,7.4.3,691,30,0.010634,0.003948,0.014582,21.91
operations-on-packed-arrays-rw,Yosys,,True,0,7.4.3,628,30,0.009582,0.004794,0.014376,21.957
operations-on-packed-arrays-slice-equality,Yosys,,True,0,7.4.3,723,30,0.009734,0.003966,0.0137,22.133
operations-on-packed-arrays-variable-slice-rw,Yosys,,True,0,7.4.3 7.4.6,715,30,0.008001,0.00544,0.013441,21.598
operations-on-packed-arrays-one-bit,Yosys,,True,0,7.4.3,660,30,0.011046,0.003924,0.01497,21.719
operations-on-arrays-treat-as-integer,Yosys,,True,0,7.4.3,578,30,0.010516,0.003038,0.013554,21.52
basic-packed,Yosys,,True,0,7.4 7.4.1,402,30,0.008926,0.005085,0.014011,21.035
operations-on-packed-arrays-slice-rw,Yosys,,True,0,7.4.3,667,30,0.007977,0.006894,0.014871,21.77
operations-on-arrays-variable-slice-zero-rw,Yosys,,False,0,7.4.3,1111,30,0.00819,0.006163,0.014353,21.645
arrays-packed-quering-functions-low,Yosys,,True,0,uvm-req 7.11 7.4.1,511,30,0.009489,0.004406,0.013895,21.344
arrays-packed-quering-functions-unpacked-dimensions,Yosys,,True,0,uvm-req 7.11 7.4.1,543,30,0.008106,0.00514,0.013246,21.352
arrays-packed-quering-functions-size,Yosys,,True,0,uvm-req 7.11 7.4.1,513,30,0.009465,0.004606,0.014071,21.785
arrays-packed-quering-functions-dimensions,Yosys,,True,0,uvm-req 7.11 7.4.1,525,30,0.008146,0.005564,0.01371,21.398
arrays-packed-quering-functions-high,Yosys,,True,0,uvm-req 7.11 7.4.1,513,30,0.007602,0.00594,0.013542,21.469
arrays-packed-quering-functions-left,Yosys,,True,0,uvm-req 7.11 7.4.1,513,30,0.007882,0.005168,0.01305,21.879
arrays-packed-quering-functions-increment,Yosys,,True,0,uvm-req 7.11 7.4.1,523,30,0.004775,0.008563,0.013338,21.566
arrays-packed-quering-functions-right,Yosys,,True,0,uvm-req 7.11 7.4.1,515,30,0.004796,0.008756,0.013552,21.758
subarrays,Yosys,,False,1,7.4.5,662,30,0.007805,0.00301,0.010815,14.957
copy,Yosys,,True,0,7.4.5,618,30,0.009177,0.006518,0.015695,21.566
multi-declaration,Yosys,,True,0,7.4.5,432,30,0.002061,0.010632,0.012693,20.965
multi-dim-basic,Yosys,,True,0,7.4.5,636,30,0.006455,0.007687,0.014142,20.977
associative-arrays-integral,Yosys,,False,1,7.8.4 7.8,391,30,0.006302,0.004122,0.010424,15.023
associative-arrays-access-nonexistent,Yosys,,False,1,7.8.6 7.9.1,653,30,0.006617,0.00419,0.010807,15.223
associative-arrays-assignment,Yosys,,False,1,7.9.9 7.8,915,30,0.003606,0.00772,0.011326,14.902
associative-arrays-class,Yosys,,False,1,7.8.3 7.8,412,30,0.005253,0.005091,0.010344,14.973
associative-arrays-literals,Yosys,,False,1,7.8 7.9.11,638,30,0.004024,0.005869,0.009893,15.023
associative-arrays-string,Yosys,,False,1,7.8 7.8.2,388,30,0.005188,0.005318,0.010506,15.055
associative-arrays-allocating-elements,Yosys,,False,1,7.8.7 7.8 7.9.1,574,30,0.005964,0.004145,0.010109,14.973
associative-arrays-prev,Yosys,,False,1,7.9 7.9.7,730,30,0.006003,0.004065,0.010068,15.023
associative-arrays-size,Yosys,,False,1,7.9 7.9.1,709,30,0.004305,0.0053,0.009605,14.98
associative-arrays-delete,Yosys,,False,1,7.9 7.9.2,714,30,0.007103,0.00314,0.010243,14.957
associative-arrays-exists,Yosys,,False,1,7.9 7.9.3,651,30,0.006923,0.003326,0.010249,14.938
associative-arrays-next,Yosys,,False,1,7.9.6 7.9,731,30,0.004216,0.005998,0.010214,15.168
associative-arrays-last,Yosys,,False,1,7.9.5 7.9,738,30,0.006402,0.003783,0.010185,14.84
associative-arrays-arg-traversal,Yosys,,False,1,7.9.8 7.9,607,30,0.005949,0.004498,0.010447,15.023
associative-arrays-num,Yosys,,False,1,7.9 7.9.1,703,30,0.006128,0.004229,0.010357,14.973
associative-arrays-first,Yosys,,False,1,7.9.4 7.9,742,30,0.004532,0.005868,0.0104,15.133
operations-on-unpacked-arrays-equality,Yosys,,False,1,7.4.3,946,30,0.007214,0.003109,0.010323,15.207
operations-on-unpacked-arrays-rw,Yosys,,False,1,7.4.3,943,30,0.005663,0.003962,0.009625,15.129
operations-on-unpacked-arrays-slice-equality,Yosys,,False,1,7.4.3,978,30,0.004962,0.005421,0.010383,14.91
